time_sec,time_hr,charge_rate,soc,
0.00,0.00,45.0,0.00,
60.48,0.02,47.5,0.00,
118.08,0.03,50.0,0.50,
175.68,0.05,50.0,1.00,
233.28,0.06,50.0,1.50,
290.88,0.08,50.0,2.00,
348.48,0.10,50.0,2.50,
406.08,0.11,50.0,3.00,
463.68,0.13,50.0,3.50,
521.28,0.14,50.0,4.00,
578.88,0.16,50.0,4.50,
636.48,0.18,50.0,5.00,
694.08,0.19,50.0,5.50,
751.68,0.21,50.0,6.00,
809.28,0.22,50.0,6.50,
866.88,0.24,50.0,7.00,
924.48,0.26,50.0,7.50,
982.08,0.27,50.0,8.00,
1039.68,0.29,50.0,8.50,
1097.28,0.30,50.0,9.00,
1154.88,0.32,50.0,9.50,
1212.48,0.34,50.0,10.00,
1270.08,0.35,50.0,10.50,
1327.68,0.37,50.0,11.00,
1385.28,0.38,50.0,11.50,
1442.88,0.40,50.0,12.00,
1500.48,0.42,50.0,12.50,
1558.08,0.43,50.0,13.00,
1615.68,0.45,50.0,13.50,
1673.28,0.46,50.0,14.00,
1730.88,0.48,50.0,14.50,
1788.48,0.50,50.0,15.00,
1846.08,0.51,50.0,15.50,
1903.68,0.53,50.0,16.00,
1961.28,0.54,50.0,16.50,
2018.88,0.56,50.0,17.00,
2076.48,0.58,50.0,17.50,
2134.08,0.59,50.0,18.00,
2191.68,0.61,50.0,18.50,
2249.28,0.62,50.0,19.00,
2306.88,0.64,50.0,19.50,
2367.36,0.66,47.5,20.00,
2431.44,0.68,45.0,20.50,
2495.52,0.69,45.0,21.00,
2559.60,0.71,45.0,21.50,
2623.68,0.73,45.0,22.00,
2687.76,0.75,45.0,22.50,
2751.84,0.76,45.0,23.00,
2815.92,0.78,45.0,23.50,
2880.00,0.80,45.0,24.00,
2944.08,0.82,45.0,24.50,
3008.16,0.84,45.0,25.00,
3072.24,0.85,45.0,25.50,
3136.32,0.87,45.0,26.00,
3200.40,0.89,45.0,26.50,
3264.48,0.91,45.0,27.00,
3328.56,0.92,45.0,27.50,
3392.64,0.94,45.0,28.00,
3456.72,0.96,45.0,28.50,
3520.80,0.98,45.0,29.00,
3584.88,1.00,45.0,29.50,
3648.96,1.01,45.0,30.00,
3713.04,1.03,45.0,30.50,
