origin,destination,latitude,longitude,altitude,waypoint_id,flight_mode
NASA,UCSC,37.420569,-122.057634,0,ns_wp0,idle
NASA,UCSC,37.420569,-122.057634,30,ns_wp1,hover_climb
NASA,UCSC,37.417886,-122.057882,100,ns_wp2,climb
NASA,UCSC,37.412454,-122.057143,140,ns_wp3,climb
NASA,UCSC,37.39759,-122.056276,300,ns_wp4,climb
NASA,UCSC,37.365958,-122.055148,600,ns_wp5,climb
NASA,UCSC,37.296258,-122.052937,1000,ns_wp6,climb
NASA,UCSC,37.22635,-122.054115,1200,ns_wp7,climb
NASA,UCSC,37.116876,-122.053763,800,ns_wp8,descent
NASA,UCSC,37.029599,-122.05451,500,ns_wp9,descent
NASA,UCSC,37.000583,-122.054375,350,ns_wp10,descent
NASA,UCSC,36.993455,-122.054316,250,ns_wp11,descent
NASA,UCSC,36.992873,-122.054334,230,ns_wp12,descent
NASA,UCSC,36.992873,-122.054334,205,ns_wp13,hover_descent
