origin,destination,latitude,longitude,altitude,waypoint_id,flight_mode
UCSC,NASA,36.992201,-122.054347,195,sn_wp0,idle
UCSC,NASA,36.992201,-122.054347,215,sn_wp1,hover_climb
UCSC,NASA,36.990955,-122.056328,240,sn_wp2,climb
UCSC,NASA,36.991459,-122.058966,260,sn_wp3,climb
UCSC,NASA,36.99829,-122.067805,340,sn_wp4,climb
UCSC,NASA,37.025761,-122.0856,550,sn_wp5,climb
UCSC,NASA,37.120251,-122.112259,1200,sn_wp6,climb
UCSC,NASA,37.254506,-122.103075,1200,sn_wp7,cruise
UCSC,NASA,37.339649,-122.096501,600,sn_wp8,descent
UCSC,NASA,37.412132,-122.090868,600,sn_wp9,cruise
UCSC,NASA,37.433381,-122.087987,400,sn_wp10,descent
UCSC,NASA,37.43893,-122.080313,350,sn_wp11,descent
UCSC,NASA,37.438644,-122.073431,300,sn_wp12,descent
UCSC,NASA,37.423372,-122.060624,100,sn_wp13,descent
UCSC,NASA,37.421221,-122.057952,30,sn_wp14,descent
UCSC,NASA,37.421221,-122.057952,0,sn_wp15,hover_descent
