,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,nb_wp0,37.421221,-122.057952,0.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,nb_wp1,37.421221,-122.057952,30.0,15.0,15.0,hover_climb,616342.8851048723,2.5680953546036345,2.0,0.0,0.0
2,nb_wp1-2,37.423645,-122.05843285714286,90.0,30.0,45.0,climb_transition,318668.1675339342,2.655568062782785,2.0,9.09536481470787,351.0471526408013
3,nb_wp2,37.424049,-122.058513,100.0,1.8411661245010118,46.841166124501015,climb,299779.26698945486,0.15331761978020242,5.431340424379237,24.700000000000003,351.0471972186705
4,nb_wp3,37.439434,-122.066561,300.0,54.007425201417334,100.84859132591835,climb,221796.3239539371,3.3274023266365518,3.703194500647132,34.3,337.4450480432819
5,nb_wp4,37.457348,-122.077247,600.0,69.96909272306071,170.81768404897906,climb,248192.48870803698,4.823834237661067,4.28760740384911,31.5,334.66216427157775
6,nb_wp5,37.616128,-122.165738,600.0,258.9398054710208,429.75748951999987,cruise,108404.4138091756,7.797282728874436,0.0,74.54545454545455,336.1847435390231
7,nb_wp6,37.787779,-122.338078,600.0,326.9955823016118,756.7530718216117,cruise,108404.4138091756,9.846601227110074,0.0,74.54545454545455,321.58979117370194
8,nb_wp7,37.85723,-122.330773,800.0,155.9196756868655,912.6727475084772,climb,137421.64872679184,5.951871917176594,1.2827117496169071,49.7,4.747260949840211
9,nb_wp8,37.8668,-122.285427,800.0,55.27613237502641,967.9488798835037,cruise,108396.45187285772,1.6643712840853506,0.0,74.54545454545455,75.0199153139763
10,nb_wp9,37.870126,-122.261676,500.0,62.8310060933472,1030.779885976851,descent,405.3041844884774,0.007073797134792956,-4.774712656268689,33.7,79.93360712334669
11,nb_wp9-2,37.872043352941176,-122.25070129411765,350.0,32.88776104053948,1063.6676470173904,descent,16126.670397519883,0.1473250228925488,-4.560967218628862,30.0,77.51724168490938
12,nb_wp10,37.872299,-122.249238,330.0,10.0,1073.6676470173904,descent_transition,87299.42781109498,0.24249841058637495,-2.0,13.154919483833954,77.51998283041337
13,nb_wp11,37.873977,-122.249441,290.0,20.0,1093.6676470173904,descent_transition,249888.24815162248,1.3882680452867915,-2.0,9.371696923821052,354.54507893843294
14,nb_wp12,37.873977,-122.249441,260.0,15.0,1108.6676470173904,hover_descent,557864.4660731319,2.324435275304716,-2.0,0.0,0.0
