,waypoint_id,latitude,longitude,altitude,time,accumulated time,phase,average_power,energy_budget,v_vertical,v_horizontal,heading
0,sn_wp0,36.992201,-122.054347,195.0,0.0,0.0,idle,0.0,0.0,0.0,0.0,0.0
1,sn_wp1,36.992201,-122.054347,215.0,10.0,10.0,hover_climb,621709.0016192584,1.7269694489423844,2.0,0.0,0.0
2,sn_wp2,36.990955,-122.056328,240.0,12.0,22.0,climb_transition,321283.5031335099,1.070945010445033,2.0,18.66199715672825,231.78104308568894
3,sn_wp3,36.991459,-122.058966,260.0,12.045098760551541,34.04509876055154,climb_transition,261939.74290438468,0.8764139090546648,1.660426402272538,20.0,283.45305158248624
4,sn_wp3-2,36.9927398125,-122.0606233125,275.0,10.240701912792735,44.285800673344276,climb_transition,243592.66311049325,0.6929332919605291,1.464743347451792,20.0,314.05655114826675
5,sn_wp4,36.99829,-122.067805,340.0,22.58287310418261,66.86867377752688,climb,189761.93389959406,1.1903804647941167,2.8782874393409776,39.3,314.0594991898978
6,sn_wp5,37.025761,-122.0856,550.0,82.47192590454499,149.34059968207185,climb,178025.2176121124,4.078356265568509,2.546321038301677,41.7,332.65493211115256
7,sn_wp6,37.120251,-122.112259,1200.0,252.2183979970386,401.55899767911046,climb,181060.4222926261,12.685213792031517,2.5771315858077566,42.7,347.3218132584446
8,sn_wp7,37.254506,-122.103075,1200.0,195.26544474691224,596.8244424260226,cruise,111335.7913102066,6.038898001788027,0.0,76.56565656565657,3.1166127692288796
9,sn_wp8,37.339649,-122.096501,600.0,157.3020157385126,754.1264581645353,descent,95.40008468769884,0.004168507117499955,-3.814318571717455,60.300000000000004,3.512809304091377
10,sn_wp9,37.412132,-122.090868,600.0,108.32447426210571,862.450932426641,cruise,108404.4138091756,3.261903092658528,0.0,74.54545454545455,3.5322526130937035
11,sn_wp10,37.433381,-122.087987,400.0,51.43806880179683,913.8890012284378,descent,10.581826591260324,0.0001511968678472033,-3.88817085592089,46.2,6.144842709260843
12,sn_wp11,37.43893,-122.080313,350.0,12.710168866405098,926.5991700948429,descent,6210.783588916047,0.021927807835505683,-3.933858041190749,72.1,47.67485313101258
13,sn_wp12,37.438644,-122.073431,300.0,13.084677467818288,939.6838475626612,descent,274.3257904766142,0.0009970734693029984,-3.8212634681271127,46.5,92.99400334385228
14,sn_wp13,37.423372,-122.060624,100.0,49.64081358906625,989.3246611517275,descent,266.2699218577018,0.0036716265431426137,-4.028942830301465,41.1,146.33585877868478
15,sn_wp13-2,37.423064714285715,-122.0602422857143,90.0,2.399864125204661,991.7245252769321,descent,79001.67988503478,0.05266480482972158,-4.166902573764337,20.0,135.38848970519297
16,sn_wp14,37.421221,-122.057952,30.0,30.0,1021.7245252769321,descent_transition,146275.49808727956,1.218962484060663,-2.0,9.599524505849287,135.38749836041848
17,sn_wp15,37.421221,-122.057952,0.0,15.0,1036.7245252769321,hover_descent,550502.8851048723,2.2937620212703016,-2.0,0.0,0.0
